MetaID,treatment,pid_rep,open.ended.response
0,1,1,"problems caused by the influx of illegal immigrants who are crowding our schools and hospitals, lowering the level of ducation and the quality of care in hospitals."
0,1,1,"if you mean illegal immigration, i'm afraid of who might be getting into this country in unsecured borders."
0,0,0.333,"that they should enter the same way my grandparents did, legally. learn english and pay taxes. i don't think that a lot of these asians and east indians should be getting a tax free ride. i'm tired of paying for everyone else."
0,0,0.5,"legally entering the usa meeting the requirements is the law. entering the usa improperly is a crime. it is unfortunate that the american bar association has fought treating entering the usa as a crime. and our politicians from both parties have been so anxious to get the ""vote"" that they refuse to inforce the law. meanwhile, terorists can walk right in without any problem. no accountability on the part of politicians supported by the news media will bring our nation down eventually. and the normal person will wonder how it happened."
0,1,0.66667002,"terror
bombings
killing us
robbing america"
0,1,0,having criminals immigrate here
0,1,0.833,"illegal, draining our goverment resources and making no contibution to our society.  as long as they will do the menial labor, our lazy welfare bums will continue to rob, steal, and murder.  our jails are overcrowded!
if welfare recipients, who are physically able, wont work then no welfare."
0,1,0,we are not the lower class people and that is not right
0,0,0,i dont have a problem with it as long as they learn english and pay taxes
0,1,0.66667002,i think that people  that come into the united states shouldn't be able to get more for help for living when the states don't even take care of the people that were born and raised here.
0,1,0.16666999,taking jobs from americans
0,1,0.833,illegal immagrtants and social security
0,0,0.66667002,"when i think of immigration, i think of the people who legally come to this country and apply for the necessary citizenships so that they can get a job and have the benefits of being an american and all the freedoms that come with that."
0,0,0.833,illegal imigration is a pox on our society.
0,0,1,illegals
0,0,1,"the amount of illegal immigration, and exceptions to the legal immigration quotas that happen all the time.  i'm concerned that abuses will sink us soon."
0,0,0.16666999,send them all back
0,0,0.333,that we have to many people from other countrys here
0,0,0.5,unfair unattainable
0,1,0,i'm really more worried about world population growth than about immigration per se.  i do feel that immigrants should learn english.  i do not like the idea of spanish being on an equal par with english.  speak what ever you want at home but learn enough english to function in this country.
0,1,0,loss of jobs for americans
0,1,0.66667002,"changing the basic makeup of the united states.  creating a population with more socialistic values.  mexico is largely an economic failure, so the immigrants from there may tend to have the values that created that failure."
